tick,day,S,E,I_asymp,I_symp,R,D,belief_mean,belief_max,n_panic,official_signal,authority_perceived,n_power_fail,n_water_fail,total_outflow,expected_incidents,n_events
49,12.25,319734.412932174,114.46570077611038,48.31006178425043,51.08421668855458,51.021542982369844,0.705545594691252,0.019683446991772973,0.5171962532159649,1,0.0,6.464241174038957e-05,0,0,0.042389152636703495,0.0,0
50,12.5,319726.22286099684,116.93248691447964,49.71994844946216,52.883035012067836,53.49963430624427,0.7420343208973624,0.020350347921831283,0.5296101418422562,1,0.0,6.787313479784284e-05,0,0,0.5252765418111867,0.0,0
51,12.75,319718.00774216093,119.30098140469416,51.127291683627035,54.72335132391793,56.06082550951608,0.7798079173345537,0.021030416972790095,0.5420439313146279,1,0.0,7.115385326856232e-05,0,0,1.519162060217955,0.0,0
52,13.0,319709.77372815256,121.56994634278982,52.52740399639505,56.603492795764296,58.70653268704789,0.8188960254230664,0.021724218286142963,0.5544675667667867,1,0.0,7.449018590632546e-05,0,0,2.9850760901194358,0.0,0
53,13.25,319701.5232011586,123.74197601963427,53.91595452814213,58.5214947813595,61.43804642056242,0.8593270917057552,0.022432410536212928,0.5668471175526272,1,0.0,7.788790059376736e-05,0,0,4.878026995317698,0.0,0
54,13.5,319693.25426406495,125.82381431229639,55.28912881768258,60.4751379859216,64.2565266597406,0.9011281594067265,0.024435728309595547,0.6593510374195029,1,0.0,8.135288294809482e-05,1,1,57.03942293535797,0.0,0
55,13.75,319686.11112013645,126.67576752518787,56.643790174575734,62.46199629060775,67.16300118664331,0.9443246865395276,0.02637576937699654,0.7325836512320101,1,0.0,8.489111198435476e-05,1,1,81.36428420685228,0.0,0
56,14.0,319678.8045922882,127.64850699714323,57.920097285248005,64.4794949718935,70.15836805930854,0.9889403981756759,0.02826601666063999,0.7909912983765859,1,0.0,8.850864177841135e-05,1,1,102.19684418365058,0.0,0
57,14.25,319671.1103897615,128.96028417398287,59.13108537749374,66.52066316214805,73.24258034454263,1.0349971802984568,0.030116045247872453,0.8379640127913189,1,0.0,9.221158821351859e-05,1,1,113.32202648941382,0.0,0
58,14.5,319663.0060081504,130.6166515763388,60.2995383917738,68.57975659538336,76.41553334632486,1.0825119396999916,0.03190521800956364,0.8744221099132722,1,0.0,9.600612001863933e-05,1,1,115.63827914303998,0.0,0
59,14.75,319654.48045453103,132.6113726169682,61.44648361418237,70.65294495350273,79.67724680418864,1.131497480125265,0.03363803389313106,0.9026771351827859,1,0.0,9.989845341547591e-05,1,1,112.98743579861585,0.0,0
60,15.0,319645.5291648191,134.93209369804975,62.59075906519307,72.7381117619413,83.02790678633527,1.181963869377767,0.03532038305729619,0.9245747797666591,1,0.0,0.0001038948497863328,1,1,110.16185691001925,0.0,0
61,15.25,319636.14713772346,137.56751610876944,63.748903119274736,74.83462898604715,86.46789439893455,1.2339196634934395,0.0369583042895624,0.9415454543191608,1,0.0,0.00010800161585803017,1,1,107.40692075843981,0.0,0
62,15.5,319626.3285692383,140.5077087884788,64.93541257477798,76.9431313990625,89.99780502943581,1.2873729699120446,0.03855768958512179,0.9546977270973497,1,0.0,0.00011222498743204345,1,1,104.720862166897,0.0,0
63,15.75,319616.0668493878,143.74404319958396,66.16299332002531,79.0653183636329,93.61846337947128,1.3423323494828034,0.04012411729349272,0.964890738500446,1,0.0,0.00011657090809672523,1,1,102.1019600719301,0.0,0
64,16.0,319605.3545613742,147.26912905321083,67.44278536214512,81.20378149250506,97.3309351410559,1.3988075768853987,0.04166276918273057,0.9727903223378457,1,0.0,0.000121044843788085,1,1,99.54853640767224,0.0,0
65,16.25,319594.1834825169,151.07675145783554,68.7845645503284,83.36185534136216,101.13653585560995,1.4568102779514736,0.04317840106825846,0.9789124998118304,1,0.0,0.00012565162808019555,1,1,97.0589550210652,0.0,0
66,16.5,319582.5445864551,155.16180994677381,70.19692314551229,85.54348856330245,105.03683742899089,1.5163544603381607,0.04467534650980391,0.9836571873541685,1,0.0,0.00013039533402402873,1,1,94.63162061687785,0.0,0
67,16.75,319570.4280461632,159.52025974126607,71.68743121914451,87.75313320766936,109.0336727164995,1.5774569521690913,0.046157539864347584,0.9873343201994806,1,0.0,0.00013527916928241114,1,1,92.26497773130767,0.0,0
68,17.0,319557.8232373971,164.1490555203193,73.2627807044985,89.99565007740271,113.12913853904142,1.6401377616031407,0.047628549640977985,0.9901840981545975,1,0.0,0.00014030539219610086,1,1,89.95750973304767,0.0,0
69,17.25,319544.7187422464,169.04609789504053,74.92891377475566,92.2762282703329,117.32559744467193,1.7044203688012858,0.049091616289403776,0.9923926760698131,1,0.0,0.00014547524724385646,1,1,87.70773785078987,0.0,0
70,17.5,319531.10235252406,174.2101827225796,76.69113708247593,94.60031722235622,121.62567848805865,1.770331960422952,0.050549690720977,0.9941043239541051,1,0.0,0.00015078891910880882,1,1,85.51422022621573,0.0,0
71,17.75,319516.9610727688,179.64095334176915,78.55422326481244,96.97356974560063,126.03227726344794,1.8379036155817778,0.05200547132392856,0.9954308510644314,1,0.0,0.00015624550521523204,1,1,83.37555099159401,0.0,0
72,18.0,319502.2811226755,185.33885576798545,80.52250099754262,99.40179471383298,130.54855539404127,1.9071704511143497,0.05346143821145295,0.9964589095749343,1,0.0,0.0001618430071351432,1,1,81.29035937116653,0.0,0
73,18.25,319487.0491586597,191.3038769953473,82.59993476830415,101.89091819172606,135.17793965184745,1.9781717330528017,0.054919884083951244,0.9972556549205741,1,0.0,0.00016757834166551623,1,1,79.2573088055572,0.0,0
74,18.5,319471.28220033227,197.50564147298132,84.79013444233009,104.44695193535865,139.9241208566765,2.050950960332606,0.05638294150046772,0.9978731325634449,1,0.0,0.00017344737262891402,1,1,77.27509609848747,0.0,0
75,18.75,319455.011995621,203.90056411064188,87.09486879791396,107.07596373512774,144.79105180930446,2.1255559260007195,0.057852606419388386,0.9983516777366698,1,0.0,0.0001794449650662105,1,1,75.34245058512329,0.0,0
76,19.0,319438.2722216409,210.44530988518454,89.51356943220374,109.78393733300246,149.78292295143274,2.202038757240096,0.0593307534279545,0.998722550245919,1,0.0,0.00018556506835332894,1,1,73.45813332141675,0.0,0
77,19.25,319421.09868471336,217.09658131844594,92.04355194144479,112.57660013566765,154.90412603569072,2.280455855335098,0.06081914241411892,0.9990099764405873,1,0.0,0.000191800831704151,1,1,71.6209362938388,0.0,0
78,19.5,319403.52944322675,223.81099373921094,94.68020672688095,115.45927366928787,160.15921492531686,2.3608677125748603,0.062319418911315275,0.9992327317414552,1,0.0,0.00019814475305358526,1,1,69.82968164893019,0.0,0
79,19.75,319385.6048352743,230.54505200469424,97.41716652751285,118.43674368561511,165.55286388555453,2.4433386223386377,0.06383310994486038,0.9994053670996278,1,0.0,0.00020458886053146617,1,1,68.08322094212386,0.0,0
80,20.0,319367.3673939975,237.25524068128257,100.24645783064818,121.51314747212088,171.08982372208698,2.527936296399792,0.06536161687937622,0.9995391595022115,1,0.0,0.00021111143857014536,1,1,66.380434405317,0.0,0
81,20.25,319348.86163522955,243.89823741511702,103.15864327269016,124.69187654255802,176.77487613833475,2.6147314017370205,0.06690620649814116,0.9996428486142139,1,0.0,0.0002176945891721355,1,1,64.720230232693,0.0,0
