tick,day,S,E,I_asymp,I_symp,R,D,belief_mean,belief_max,n_panic,official_signal,authority_perceived,n_power_fail,n_water_fail,total_outflow,expected_incidents,n_events
119,29.75,318498.4483274773,454.22465267887526,214.4867996169459,294.9723444163001,529.7756069990508,8.092268811484837,0.20217662691761448,0.999999977801837,9,0.0,0.0005885048795821625,9,9,961.3048230964584,0.0,0
120,30.0,318468.2832515726,461.678495949702,218.04742514223372,300.52412780127463,543.1637361910063,8.302963343210765,0.20747053704546542,0.9999999827964237,9,0.0,0.000602965317068499,9,9,948.7427497378027,0.0,0
121,30.25,318437.2527300379,469.62509268686046,221.66282983773368,306.1446801226109,556.7970438803685,8.517623434497391,0.21246345968923758,0.9999999866672283,9,0.0,0.0006174674702554188,9,9,928.1109234862015,0.0,0
122,30.5,318405.41561197245,477.98095611798806,225.35276037942185,311.8356537846334,570.6787195394847,8.73629820601354,0.21721818493709522,0.9999999896671019,9,0.0,0.0006319937928755465,9,9,907.5537136440283,0.0,0
123,30.75,318372.8412352557,486.6562850288416,229.13102600858724,317.6001231779245,584.8122925702244,8.959037958716852,0.22178509730111481,0.999999991992004,9,0.0,0.0006465375433385037,9,9,887.1270183074613,0.0,0
124,31.0,318339.6063841962,495.5583218368961,233.00571293783398,323.44208858649984,599.201597253003,9.185895189558227,0.22620452105004363,0.9999999937938031,9,0.0,0.0006611011499634895,9,9,866.88306675487,0.0,0
125,31.25,318305.7915910714,504.59519886978717,236.9795475173722,329.3660138930338,613.8507233954996,9.416925252834297,0.2305086521492154,0.9999999951901974,11,0.0,0.0006756947823353391,9,9,846.8684561933364,0.0,0
126,31.5,318271.47700461757,513.6800253801475,241.05041928966762,335.3764080320855,628.7639559891468,9.652186691329321,0.23472314408355563,0.999999996272403,13,0.0,0.000690334941536084,9,9,827.2137492439759,0.0,0
127,31.75,318236.73799318227,522.7350355464664,245.2120616935261,341.4774606205218,643.9457076886936,9.891741268495096,0.2388685399314771,0.9999999971111123,13,0.0,0.0007050423805302298,9,9,810.3946737379287,0.0,0
128,32.0,318201.6397556253,531.6965213261824,249.4548793910703,347.6727416539462,659.4004482631765,10.135653740366898,0.24296148255049616,0.999999997761112,13,0.0,0.0007198402523379881,9,9,798.6862105329772,0.0,0
129,32.25,318166.2314046634,540.5200462216958,253.766948368891,353.9649739777784,675.1326353552228,10.383991412976858,0.24701559232500903,0.9999999982648619,13,0.0,0.0007347526140681459,9,9,791.9258199808048,0.0,0
